seed,chunk_size,coreset_factor,repeat_factor,runtime_sec,memory,cost_sse,ari,nmi,quality,summary_size,max_chunk_summary_size,avg_update_ms,coreset_per_round,repetitions
42,1024,1.0,1.0,0.45616270000027725,11424.0,948273.0625,0.885783163751154,0.9330145441995394,0.9330145441995394,238,24,45.573830000103044,3,10
77,1024,1.0,1.0,0.4508999000008771,11472.0,1343763.375,0.6796006252634837,0.8424069691367887,0.8424069691367887,239,24,45.053409999309224,3,10
211,1024,1.0,1.0,0.5517940000008821,11520.0,873896.75,0.8398584584573244,0.9379490897463436,0.9379490897463436,240,24,55.14106000009633,3,10
42,1024,1.0,2.0,0.8303613999996742,11520.0,695099.0,0.9824942508534751,0.9854527061258385,0.9854527061258385,240,24,82.9975500002547,3,19
77,1024,1.0,2.0,0.7942923999999039,11520.0,1280633.5,0.7222466881266106,0.8425359046929817,0.8425359046929817,240,24,79.39155000040046,3,19
211,1024,1.0,2.0,0.7891166000008525,11520.0,666018.625,1.0,1.0,1.0,240,24,78.87221999990288,3,19
42,1024,1.0,3.0,1.1437679000009666,11520.0,1000908.5,0.848646035526134,0.9381426684348666,0.9381426684348666,240,24,114.34054999990622,3,28
77,1024,1.0,3.0,1.152989099999104,11520.0,1591974.75,0.6559516908581539,0.798943486784725,0.798943486784725,240,24,115.26293000006262,3,28
211,1024,1.0,3.0,1.1669024999991962,11472.0,704787.3125,0.9995427199346688,0.9992179728188104,0.9992179728188104,239,24,116.65216000055807,3,28
42,1024,2.0,1.0,0.984466899999461,19200.0,900277.6875,0.8431647113818646,0.9377117723940857,0.9377117723940857,400,40,98.40391000016098,5,10
77,1024,2.0,1.0,1.0421458999990136,19200.0,1337413.625,0.6875305858842053,0.8218048965417684,0.8218048965417684,400,40,104.13869000003615,5,10
211,1024,2.0,1.0,0.988124899999093,19152.0,2078637.875,0.5275335448544031,0.7263275865032319,0.7263275865032319,399,40,98.76827000007324,5,10
42,1024,2.0,2.0,1.8866916999995738,19104.0,965535.0,0.8328406423867016,0.9269750517762023,0.9269750517762023,398,40,188.62643999964348,5,19
77,1024,2.0,2.0,1.8590134000005492,19200.0,810628.8125,0.8355768266087975,0.9365472334311826,0.9365472334311826,400,40,185.8582099999694,5,19
211,1024,2.0,2.0,1.8616043999991234,19056.0,1253089.875,0.6763037701344581,0.8342100970211999,0.8342100970211999,397,40,186.11660999995365,5,19
42,1024,2.0,3.0,2.73688570000013,19152.0,683538.1875,0.9997713599516416,0.9996089864169269,0.9996089864169269,399,40,273.6344300003111,5,28
77,1024,2.0,3.0,2.7590247000007366,19152.0,641175.375,0.9997713599516416,0.9996089864169266,0.9996089864169266,399,40,275.85740000031365,5,28
211,1024,2.0,3.0,2.719989200000782,19152.0,1468246.0,0.6063509644140709,0.8331510057738074,0.8331510057738074,399,40,271.95375000028434,5,28
42,1024,3.0,1.0,1.4266693000008672,26832.0,884448.5,0.8744938916330444,0.916470697831985,0.916470697831985,559,56,142.5930299998072,7,10
77,1024,3.0,1.0,1.4122222000005422,26688.0,683903.0,0.9990859888249982,0.9985026892814015,0.9985026892814015,556,56,141.17528999995557,7,10
211,1024,3.0,1.0,1.379140400000324,26832.0,1013853.125,0.853113460344414,0.9434759482327056,0.9434759482327056,559,56,137.86573999987013,7,10
42,1024,3.0,2.0,2.6421114999993733,26832.0,1130678.875,0.8360229461985912,0.9267096436643181,0.9267096436643181,559,56,264.1598800000793,7,19
77,1024,3.0,2.0,2.636235100000704,26736.0,1375640.125,0.6336001952673769,0.8119976372642488,0.8119976372642488,557,56,263.5753599999589,7,19
211,1024,3.0,2.0,2.590796099999352,26736.0,954696.625,0.8204655087630212,0.8905930921823404,0.8905930921823404,557,56,259.02919999989535,7,19
42,1024,3.0,3.0,4.07332789999964,26784.0,1579364.125,0.726468706967857,0.8403667515552216,0.8403667515552216,558,56,407.2850600001402,7,28
77,1024,3.0,3.0,4.093990899998971,26880.0,676188.9375,0.9974950442873193,0.99696730864148,0.99696730864148,560,56,409.3518000001495,7,28
211,1024,3.0,3.0,3.862365900000441,26880.0,1512388.5,0.785604442569202,0.8632728076317971,0.8632728076317971,560,56,386.1878200003048,7,28
