seed,chunk_size,m_factor,runtime_sec,memory,cost_sse,ari,nmi,quality,summary_points,m_summary,levels_used,points_seen,avg_update_ms
42,4096,1.0,0.03742716700071469,5632.0,21635.567886058972,0.4620056294311731,0.692792175128664,0.692792175128664,64,32,2,10000,11.792986001334308
77,4096,1.0,0.03439558300306089,5632.0,22107.64004143318,0.46074054475381077,0.6884347565075493,0.6884347565075493,64,32,2,10000,10.408596999089545
211,4096,1.0,0.03386433300329372,5632.0,22485.03806940442,0.453558324558412,0.6858682045762353,0.6858682045762353,64,32,2,10000,10.386513335106429
42,4096,2.0,0.03434220799681498,5632.0,21635.56788605897,0.4620056294311731,0.692792175128664,0.692792175128664,64,32,2,10000,10.652444664932167
77,4096,2.0,0.033612625004025176,5632.0,22107.64004143318,0.46074054475381077,0.6884347565075493,0.6884347565075493,64,32,2,10000,10.563722666120157
211,4096,2.0,0.032171915998333134,5632.0,22485.03806940442,0.453558324558412,0.6858682045762353,0.6858682045762353,64,32,2,10000,10.060069335546965
42,4096,3.0,0.03977254100027494,7392.0,22284.21035843258,0.46322039203635335,0.6926489866988904,0.6926489866988904,84,42,2,10000,12.595208002797639
77,4096,3.0,0.03559329100244213,7392.0,21640.31043078137,0.4680026634689366,0.6864017242763913,0.6864017242763913,84,42,2,10000,10.801861002012933
211,4096,3.0,0.03745783300109906,7392.0,22165.802945444037,0.47247158967436154,0.6895866968097418,0.6895866968097418,84,42,2,10000,11.58605566403518
42,4096,4.0,0.04714304200024344,9856.0,21160.021562862083,0.4592075136657789,0.6914602834094961,0.6914602834094961,112,56,2,10000,14.584528003373029
77,4096,4.0,0.047110708997934125,9856.0,21516.18951949234,0.4457333563194137,0.6895274300276395,0.6895274300276395,112,56,2,10000,14.857097332424019
211,4096,4.0,0.04418399999849498,9856.0,22336.440489474026,0.4600957995218347,0.6853540967407352,0.6853540967407352,112,56,2,10000,13.936750333717404
42,4096,5.0,0.055330583003524225,12320.0,21000.86827416513,0.44812471564116324,0.6885461572725671,0.6885461572725671,140,70,2,10000,17.70661066499694
77,4096,5.0,0.05938199999945937,12320.0,22309.830645857346,0.45640777919515724,0.6842528581750834,0.6842528581750834,140,70,2,10000,18.656138667817384
211,4096,5.0,0.05444345900468761,12320.0,21167.598182504033,0.45745147290288174,0.6937126277826859,0.6937126277826859,140,70,2,10000,17.273388999456074
