seed,chunk_size,eps,c2,runtime_sec,memory,cost_sse,ari,nmi,quality,r,d,points_seen,avg_update_ms,cost_is_approx,stream_is_single_pass
42,1024,1.5,1.0,0.4537267999985488,1792.0,1528006.090024924,0.7846644701703271,0.853103388940052,0.853103388940052,4,20,10000,44.253510000999086,False,False
77,1024,1.5,1.0,0.1205543999967631,1792.0,1710988.887415343,0.6497320728490943,0.7680442267408847,0.7680442267408847,4,20,10000,11.154320001514861,False,False
211,1024,1.5,1.0,0.14302239999960875,1792.0,1119913.3384852489,0.8177009279707899,0.906732190168137,0.906732190168137,4,20,10000,13.198409998585703,False,False
42,1024,1.5,2.0,0.12886499999876833,2240.0,801094.2042837194,0.9839148694097519,0.9829123966312989,0.9829123966312989,8,20,10000,12.033269998937612,False,False
77,1024,1.5,2.0,0.11070390000531916,2240.0,799378.5741508962,0.9952219981471712,0.9934629037414802,0.9934629037414802,8,20,10000,10.308099999383558,False,False
211,1024,1.5,2.0,0.14662529999623075,2240.0,808635.9969528401,0.9548199576374387,0.9632548420348255,0.9632548420348255,8,20,10000,13.357520001591183,False,False
42,1024,1.5,3.0,0.19523259999550646,2576.0,799336.232991684,0.9956675542991205,0.9937929849436051,0.9937929849436051,11,20,10000,17.922460001136642,False,False
77,1024,1.5,3.0,0.16709020000416785,2576.0,799283.9796465855,0.9990865376552671,0.9985694329802183,0.9985694329802183,11,20,10000,15.072349999536527,False,False
211,1024,1.5,3.0,0.1606928999972297,2576.0,799294.6368335909,0.9984033649814387,0.9977801283135521,0.9977801283135521,11,20,10000,14.797229999385308,False,False
42,1024,2.5,1.0,0.16826730000320822,1568.0,2807972.770203679,0.4241685119743133,0.5880438271874183,0.5880438271874183,2,20,10000,15.468659999169176,False,False
77,1024,2.5,1.0,0.1619321999969543,1568.0,3182208.420084647,0.3902303215954349,0.5491692855033525,0.5491692855033525,2,20,10000,14.730780001264066,False,False
211,1024,2.5,1.0,0.18600980000337586,1568.0,990840.970059485,0.7559352320481022,0.7864448390691967,0.7864448390691967,2,20,10000,17.148250000172993,False,False
42,1024,2.5,2.0,0.1754097000011825,1680.0,1082708.946988856,0.8055929712190015,0.8386065095480539,0.8386065095480539,3,20,10000,16.493099999934202,False,False
77,1024,2.5,2.0,0.11992599999939557,1680.0,1835071.5484155093,0.6261003985190359,0.745658470294852,0.745658470294852,3,20,10000,10.945469999569468,False,False
211,1024,2.5,2.0,0.11831360000360291,1680.0,1605773.4026199726,0.7646746653595408,0.8515980076012398,0.8515980076012398,3,20,10000,11.04034000163665,False,False
42,1024,2.5,3.0,0.1204479999942123,1792.0,1528006.090024924,0.7846644701703271,0.853103388940052,0.853103388940052,4,20,10000,11.27199999828008,False,False
77,1024,2.5,3.0,0.1826305000067805,1792.0,1710988.887415343,0.6497320728490943,0.7680442267408847,0.7680442267408847,4,20,10000,16.784009999537375,False,False
211,1024,2.5,3.0,0.13838340000074822,1792.0,1119913.3384852489,0.8177009279707899,0.906732190168137,0.906732190168137,4,20,10000,12.965640000038547,False,False
42,1024,3.5,1.0,0.14673580000089714,1568.0,2807972.770203679,0.4241685119743133,0.5880438271874183,0.5880438271874183,2,20,10000,13.75667000102112,False,False
77,1024,3.5,1.0,0.17640459999529412,1568.0,3182208.420084647,0.3902303215954349,0.5491692855033525,0.5491692855033525,2,20,10000,16.026849998888792,False,False
211,1024,3.5,1.0,0.15580899999622488,1568.0,990840.970059485,0.7559352320481022,0.7864448390691967,0.7864448390691967,2,20,10000,14.360450001549907,False,False
42,1024,3.5,2.0,0.13108089999877848,1568.0,2807972.770203679,0.4241685119743133,0.5880438271874183,0.5880438271874183,2,20,10000,12.427630000456702,False,False
77,1024,3.5,2.0,0.1157076000017696,1568.0,3182208.420084647,0.3902303215954349,0.5491692855033525,0.5491692855033525,2,20,10000,10.479029999260092,False,False
211,1024,3.5,2.0,0.10431550000066636,1568.0,990840.970059485,0.7559352320481022,0.7864448390691967,0.7864448390691967,2,20,10000,9.614950000104727,False,False
42,1024,3.5,3.0,0.12583799999993062,1568.0,2807972.770203679,0.4241685119743133,0.5880438271874183,0.5880438271874183,2,20,10000,11.751519997778814,False,False
77,1024,3.5,3.0,0.11502859999745851,1568.0,3182208.420084647,0.3902303215954349,0.5491692855033525,0.5491692855033525,2,20,10000,10.636500001419336,False,False
211,1024,3.5,3.0,0.12531680000392953,1568.0,990840.970059485,0.7559352320481022,0.7864448390691967,0.7864448390691967,2,20,10000,11.469870001019444,False,False
