seed,chunk_size,beta,gamma,runtime_sec,memory,cost_sse,ari,nmi,quality,points_seen,dimension,num_phases,final_summary_size,final_lower_bound,avg_update_ms
42,4092,1.5,0.25,59.81620700000349,215424.0,35889.47671773815,0.6145453843869877,0.7618681220236445,0.7618681220236445,10000,10,12,2448,52.66300545379656,5.981620700000349
77,4092,1.5,0.25,66.452140100002,214984.0,33174.46273112107,0.6224608309609415,0.756334054409562,0.756334054409562,10000,10,12,2443,52.66300545379656,6.6452140100002
211,4092,1.5,0.25,57.87409449999541,218680.0,33174.855148560135,0.619577394172084,0.7554862641229979,0.7554862641229979,10000,10,12,2485,52.66300545379656,5.787409449999541
42,4092,1.5,0.5,68.03826680000202,211200.0,33172.2990074894,0.6240859111122995,0.75728191010817,0.75728191010817,10000,10,12,2400,52.66300545379656,6.803826680000202
77,4092,1.5,0.5,70.16981049999595,209000.0,33172.871647499596,0.6215284107814074,0.7562528538474004,0.7562528538474004,10000,10,12,2375,52.66300545379656,7.016981049999595
211,4092,1.5,0.5,67.93910419999884,210232.0,33171.53537999658,0.623969715180925,0.7572764077731817,0.7572764077731817,10000,10,12,2389,52.66300545379656,6.793910419999884
42,4092,1.5,1.0,79.3552378999957,304392.0,33170.905958278556,0.6241275025470148,0.7573240589383554,0.7573240589383554,10000,10,11,3459,35.10867030253104,7.93552378999957
77,4092,1.5,1.0,78.62375099999917,298760.0,33169.90028501263,0.6236316184763774,0.7570911862140923,0.7570911862140923,10000,10,11,3395,35.10867030253104,7.862375099999918
211,4092,1.5,1.0,82.26662080000096,300168.0,33169.94567478102,0.6226480323174777,0.75666423822311,0.75666423822311,10000,10,11,3411,35.10867030253104,8.226662080000096
42,4092,3.0,0.25,60.81603080000059,185064.0,33174.32586554454,0.6253843801522794,0.7580463028164496,0.7580463028164496,10000,10,6,2103,73.97382384730818,6.081603080000059
77,4092,3.0,0.25,63.17111650000152,186296.0,33175.77517386906,0.6233746129976324,0.7571146067344966,0.7571146067344966,10000,10,6,2117,73.97382384730818,6.317111650000152
211,4092,3.0,0.25,61.664267799998925,192104.0,33170.79748641691,0.6227537155169977,0.7567296611973521,0.7567296611973521,10000,10,6,2183,73.97382384730818,6.166426779999893
42,4092,3.0,0.5,59.92357410000113,430848.0,33168.62651352593,0.6235186262010649,0.7570626104391978,0.7570626104391978,10000,10,5,4896,24.65794128243606,5.992357410000113
77,4092,3.0,0.5,57.46845690000191,426712.0,33171.52900384964,0.6261446851250141,0.7583245500888143,0.7583245500888143,10000,10,5,4849,24.65794128243606,5.746845690000191
211,4092,3.0,0.5,57.88531630000216,429176.0,33170.461000092706,0.6246553706931243,0.757667105150222,0.757667105150222,10000,10,5,4877,24.65794128243606,5.788531630000216
42,4092,3.0,1.0,68.03935880000063,431904.0,33172.43134683015,0.6237539963829963,0.756934883423038,0.756934883423038,10000,10,5,4908,24.65794128243606,6.803935880000063
77,4092,3.0,1.0,72.55083390000073,429440.0,33170.75541952921,0.6201464953420925,0.7559286176389504,0.7559286176389504,10000,10,5,4880,24.65794128243606,7.255083390000072
211,4092,3.0,1.0,65.03886339999735,428384.0,33169.655803984766,0.6234211399140712,0.7570030134170724,0.7570030134170724,10000,10,5,4868,24.65794128243606,6.5038863399997355
42,4092,5.0,0.25,64.88002389999747,457600.0,33173.84850210331,0.6253951006744816,0.7577970264441566,0.7577970264441566,10000,10,4,5200,22.831427113366725,6.488002389999747
77,4092,5.0,0.25,67.03789890000189,459536.0,33173.79943412115,0.6190866890712221,0.7554476706291263,0.7554476706291263,10000,10,4,5222,22.831427113366725,6.7037898900001895
211,4092,5.0,0.25,66.92936180000106,454608.0,33170.882497445986,0.6189356094467287,0.7553300841390547,0.7553300841390547,10000,10,4,5166,22.831427113366725,6.692936180000106
42,4092,5.0,0.5,70.4105336000066,459448.0,33171.77324513691,0.6199778240873115,0.7553287212610851,0.7553287212610851,10000,10,4,5221,22.831427113366725,7.04105336000066
77,4092,5.0,0.5,67.65318419999676,458304.0,33168.15985808495,0.624262970068048,0.7571720594814295,0.7571720594814295,10000,10,4,5208,22.831427113366725,6.765318419999676
211,4092,5.0,0.5,69.5129453000045,454344.0,33169.3328480035,0.623133864695437,0.7568953899373146,0.7568953899373146,10000,10,4,5163,22.831427113366725,6.9512945300004505
42,4092,5.0,1.0,72.13221870000416,459008.0,33169.85591182042,0.6243421716863194,0.7572447853766837,0.7572447853766837,10000,10,4,5216,22.831427113366725,7.213221870000416
77,4092,5.0,1.0,73.85814209999808,460240.0,33167.204779577114,0.6231066377118261,0.756646821171919,0.756646821171919,10000,10,4,5230,22.831427113366725,7.385814209999808
211,4092,5.0,1.0,72.58711120000225,456544.0,33170.61647445192,0.6197602223993294,0.7557581301460803,0.7557581301460803,10000,10,4,5188,22.831427113366725,7.258711120000226
