seed,n,d,k,chunk_size,m_factor,runtime_sec,memory,cost_sse,ari,nmi,quality,summary_points,m_summary,levels_used,points_seen,avg_update_ms
42,50000,10,8,512,2.0,4.715068999998039,8448.0,169018.52831077576,0.6346331051218095,0.7613362526627065,0.7613362526627065,96,32,3,50000,47.91188163275068
77,50000,10,8,512,2.0,4.625501999995322,8448.0,171893.75283617905,0.5966507095478424,0.7425284771504844,0.7425284771504844,96,32,3,50000,46.998003061607776
211,50000,10,8,512,2.0,4.755207599999267,8448.0,170835.22710259774,0.6060772769060876,0.7456402057896141,0.7456402057896141,96,32,3,50000,48.3123857142791
42,50000,10,8,1024,2.0,2.3637805999969714,8448.0,169309.39210248127,0.5969955841667955,0.7426808763910488,0.7426808763910488,96,32,3,50000,47.80473877460226
77,50000,10,8,1024,2.0,2.386007100001734,8448.0,169799.21845347565,0.6134405125534061,0.7517224602999872,0.7517224602999872,96,32,3,50000,48.2970408160401
211,50000,10,8,1024,2.0,2.3841279999978724,8448.0,168114.21764329082,0.6173000690138478,0.7528333445789124,0.7528333445789124,96,32,3,50000,48.24173265274576
42,50000,10,8,2048,2.0,1.36551089999557,8448.0,168149.90041160796,0.6260986286615456,0.7575853474014337,0.7575853474014337,96,32,3,50000,53.79903200024273
77,50000,10,8,2048,2.0,1.3013312999974005,8448.0,168630.4304900823,0.6188075855087295,0.753970239130147,0.753970239130147,96,32,3,50000,51.26346800068859
211,50000,10,8,2048,2.0,1.401647699996829,8448.0,167654.43533699895,0.6109897836929306,0.7495221642233879,0.7495221642233879,96,32,3,50000,55.23550800018711
42,50000,10,8,4096,2.0,0.7117970999970566,8448.0,167382.38622748712,0.6129631507065836,0.7505241160175857,0.7505241160175857,96,32,3,50000,53.11866153687543
77,50000,10,8,4096,2.0,0.727100000003702,8448.0,168446.63074109188,0.6376191688046837,0.7625779499287209,0.7625779499287209,96,32,3,50000,54.37766153716858
211,50000,10,8,4096,2.0,0.6999447000052896,8448.0,168317.33037162301,0.6027290266295342,0.7453044471929797,0.7453044471929797,96,32,3,50000,52.38332307579604
42,50000,10,8,8192,2.0,0.3871050000016112,8448.0,168290.76279129233,0.6090112342098957,0.7481711000874648,0.7481711000874648,96,32,3,50000,52.80537142659471
77,50000,10,8,8192,2.0,0.3561476000031689,8448.0,167845.90923272326,0.6130761028828471,0.750726557410964,0.750726557410964,96,32,3,50000,48.498828569011366
211,50000,10,8,8192,2.0,0.391156099998625,8448.0,167821.66228132296,0.6160865365098578,0.7520843600177975,0.7520843600177975,96,32,3,50000,53.525585713422124
