seed,chunk_size,coreset_factor,repeat_factor,runtime_sec,memory,cost_sse,ari,nmi,quality,summary_size,max_chunk_summary_size,avg_update_ms,coreset_per_round,repetitions
42,1024,1.0,0.75,0.05196099999011494,21120.0,56791.091540573965,0.5956858088819841,0.7376867678763027,0.7376867678763027,240,24,5.152440004167147,3,7
77,1024,1.0,0.75,0.05191810001269914,21032.0,60037.13526548794,0.6362238024696004,0.7503497862035589,0.7503497862035589,239,24,5.1502799993613735,3,7
211,1024,1.0,0.75,0.05235959999845363,21120.0,58555.46681032391,0.5798105959638147,0.7523994107613133,0.7523994107613133,240,24,5.200219998368993,3,7
42,1024,1.0,1.0,0.06891729999915697,21120.0,59543.35588150666,0.5689886604190261,0.7272778881316075,0.7272778881316075,240,24,6.8567899987101555,3,10
77,1024,1.0,1.0,0.06589179998263717,21032.0,52682.85455207658,0.5930104742046705,0.7477996207555729,0.7477996207555729,239,24,6.5520200005266815,3,10
211,1024,1.0,1.0,0.06570120001561008,21120.0,48114.85896872505,0.6411837271401462,0.7829944231959279,0.7829944231959279,240,24,6.534530004137196,3,10
42,1024,1.0,1.5,0.10143700000480749,21120.0,49421.176358172066,0.6147816876118606,0.7668225133314674,0.7668225133314674,240,24,10.106039998936467,3,14
77,1024,1.0,1.5,0.09434029998374172,21120.0,63181.42893321164,0.6013437867153908,0.7491600432472225,0.7491600432472225,240,24,9.394799996516667,3,14
211,1024,1.0,1.5,0.08974470000248402,21120.0,61781.34355504456,0.574200638855198,0.747878347357452,0.747878347357452,240,24,8.943170006386936,3,14
42,1024,1.5,0.75,0.05340790000627749,28160.0,79925.0504240292,0.5461216162336756,0.736253171926222,0.736253171926222,320,32,5.296630004886538,4,7
77,1024,1.5,0.75,0.04508569999597967,28160.0,53604.29651822154,0.6603887505242979,0.7887134337107924,0.7887134337107924,320,32,4.473369996412657,4,7
211,1024,1.5,0.75,0.048729300004197285,28072.0,86368.08842120122,0.4599585120999825,0.6531017270023102,0.6531017270023102,319,32,4.833130000042729,4,7
42,1024,1.5,1.0,0.07535299999290146,28160.0,53761.13284897162,0.5979804823308836,0.7509483538113475,0.7509483538113475,320,32,7.498879998456687,4,10
77,1024,1.5,1.0,0.08240890002343804,28160.0,54793.7785242551,0.5954954334974593,0.7548318991262313,0.7548318991262313,320,32,8.133640006417409,4,10
211,1024,1.5,1.0,0.17808589999913238,28072.0,64192.85025046371,0.5621586844902804,0.7271685517890099,0.7271685517890099,319,32,17.70796999335289,4,10
42,1024,1.5,1.5,0.23126949998550117,28160.0,68714.71415668412,0.5314170740762977,0.694507706200554,0.694507706200554,320,32,23.035550001077354,4,14
77,1024,1.5,1.5,0.24377309999545105,28160.0,62316.047041213125,0.6041054492146157,0.7428975205013194,0.7428975205013194,320,32,24.31018000061158,4,14
211,1024,1.5,1.5,0.27244380000047386,28160.0,46763.2104701754,0.6503377922670023,0.7853338219233377,0.7853338219233377,320,32,27.12427000515163,4,14
42,1024,2.0,0.75,0.1445153999957256,35112.0,79229.63973539819,0.5034224368691408,0.6583301978304923,0.6583301978304923,399,40,14.386409998405725,5,7
77,1024,2.0,0.75,0.08951449999585748,35112.0,91759.38898310551,0.506939609547068,0.6906487045636877,0.6906487045636877,399,40,8.902939999825321,5,7
211,1024,2.0,0.75,0.04656400001840666,35112.0,65712.4716260254,0.668351700271436,0.7874518267251468,0.7874518267251468,399,40,4.622550003114156,5,7
42,1024,2.0,1.0,0.10870310000609607,35112.0,64169.650031277124,0.5815346047106464,0.7287194176255117,0.7287194176255117,399,40,10.774079998373054,5,10
77,1024,2.0,1.0,0.15835829998832196,35200.0,68083.65684882103,0.6033649898889533,0.7406202531846745,0.7406202531846745,400,40,15.797690002364105,5,10
211,1024,2.0,1.0,0.06897630001185462,35112.0,48697.23058065549,0.6157746370756885,0.7482846685856697,0.7482846685856697,399,40,6.861680003930815,5,10
42,1024,2.0,1.5,0.1599809000035748,35200.0,107200.62528110427,0.49102433812092033,0.6778729119572935,0.6778729119572935,400,40,15.960279997671023,5,14
77,1024,2.0,1.5,0.12384379998547956,35112.0,67939.28191608007,0.5532406520364607,0.7180794884450735,0.7180794884450735,399,40,12.33524999988731,5,14
211,1024,2.0,1.5,0.1030513999867253,35200.0,64202.26236406374,0.5824681840960062,0.7693123305917527,0.7693123305917527,400,40,10.226999994483776,5,14
