algorithm,ari,cost_ratio_vs_kmeans,cost_sse,d,dataset,extra__algorithm,extra__avg_update_ms,extra__c2,extra__chunk_size,extra__cost_is_approx,extra__d,extra__eps,extra__facility_final,extra__levels_used,extra__m_factor,extra__m_summary,extra__mode,extra__opened_centers,extra__peak_mem_bytes,extra__points_seen,extra__r,extra__state_bytes,extra__stream_is_single_pass,extra__summary_points,extra__summary_size,extra__throughput_pts_per_sec,k,n,nmi,quality_loss_pct_vs_kmeans,runtime_sec,seed,stream_model,sweep_id
KMeans(sk),0.99681,1.0,398998.375,10.0,blobs,,,,,,,,,,,,,,7430258.0,10000.0,,,,,,45272.87958,8.0,10000.0,0.99562,0.0,0.22088,42.0,insertion-only,Kmeans_sweep
MiniBatchKMeans(sk),0.99658,1.00011,399043.3125,10.0,blobs,,,,,,,,,,,,,,6805658.0,10000.0,,,,,,198412.37166,8.0,10000.0,0.99537,0.01126,0.0504,42.0,insertion-only,Kmeans_sweep
[1]Guha2002_STREAMKMeans_Paper,0.99703,1.0,399000.26792,10.0,blobs,,69.75195,,8192.0,,,,,1.0,2.0,32.0,,,13540022.0,10000.0,,2816.0,,32.0,,66654.03972,8.0,10000.0,0.99588,0.00047,0.15002,42.0,insertion-only,Kmeans_sweep
[16]Charikar2003_FacilityOnline,0.99612,1.01105,403410.4375,10.0,blobs,,0.16012,,,,,,8192.0,,,,,42.0,6789384.0,10000.0,,2016.0,,,,6245.22565,8.0,10000.0,0.99483,1.10578,1.60122,42.0,insertion-only,Kmeans_sweep
[Ailon2009] Streaming k-means#,0.85447,2.11068,842158.75,10.0,blobs,Ailon2009 faithful (no refinement),1448.08627,,8192.0,,,,,,,,,,52322703.0,10000.0,,5376.0,,,112.0,3452.22047,8.0,10000.0,0.9213,111.06821,2.89668,42.0,insertion-only,Kmeans_sweep
Boutsidis2014_RandomProj_STREAMING,0.81524,1.1499,458810.91738,10.0,blobs,,4.35007,8.0,1024.0,0.0,10.0,0.3,,,,,batch_stream_wrapper,,13557226.0,10000.0,10.0,1424.0,0.0,,,199769.4341,8.0,10000.0,0.90901,14.99067,0.05005,42.0,insertion-only,Kmeans_sweep
KMeans(sk),0.99681,1.0,398998.5,10.0,blobs,,,,,,,,,,,,,,6798143.0,10000.0,,,,,,117642.67697,8.0,10000.0,0.99562,0.0,0.085,77.0,insertion-only,Kmeans_sweep
MiniBatchKMeans(sk),0.99681,1.00009,399036.5625,10.0,blobs,,,,,,,,,,,,,,6798669.0,10000.0,,,,,,307619.73782,8.0,10000.0,0.99563,0.00953,0.0325,77.0,insertion-only,Kmeans_sweep
[1]Guha2002_STREAMKMeans_Paper,0.99658,1.00004,399017.89136,10.0,blobs,,76.34602,,8192.0,,,,,1.0,2.0,32.0,,,13525561.0,10000.0,,2816.0,,32.0,,60315.72265,8.0,10000.0,0.99537,0.00486,0.16579,77.0,insertion-only,Kmeans_sweep
[16]Charikar2003_FacilityOnline,0.99703,1.00782,402122.5625,10.0,blobs,,0.19859,,,,,,8192.0,,,,,43.0,6773358.0,10000.0,,2064.0,,,,5035.35501,8.0,10000.0,0.99588,0.78297,1.98595,77.0,insertion-only,Kmeans_sweep
[Ailon2009] Streaming k-means#,0.82,2.20447,879584.0625,10.0,blobs,Ailon2009 faithful (no refinement),1457.84977,,8192.0,,,,,,,,,,52321311.0,10000.0,,5376.0,,,112.0,3429.11504,8.0,10000.0,0.89237,120.44796,2.9162,77.0,insertion-only,Kmeans_sweep
Boutsidis2014_RandomProj_STREAMING,0.89422,1.01201,403791.1199,10.0,blobs,,3.89994,8.0,1024.0,0.0,10.0,0.3,,,,,batch_stream_wrapper,,13523724.0,10000.0,10.0,1424.0,0.0,,,222180.25484,8.0,10000.0,0.91168,1.20116,0.045,77.0,insertion-only,Kmeans_sweep
KMeans(sk),0.99681,1.0,398998.3125,10.0,blobs,,,,,,,,,,,,,,6797685.0,10000.0,,,,,,118000.3658,8.0,10000.0,0.99562,0.0,0.08474,211.0,insertion-only,Kmeans_sweep
MiniBatchKMeans(sk),0.8322,1.20157,479428.28125,10.0,blobs,,,,,,,,,,,,,,6798637.0,10000.0,,,,,,426606.74605,8.0,10000.0,0.93248,20.15797,0.02344,211.0,insertion-only,Kmeans_sweep
[1]Guha2002_STREAMKMeans_Paper,0.99703,1.0,399000.31089,10.0,blobs,,72.276,,8192.0,,,,,1.0,2.0,32.0,,,13525577.0,10000.0,,2816.0,,32.0,,63260.96015,8.0,10000.0,0.99588,0.0005,0.15807,211.0,insertion-only,Kmeans_sweep
[16]Charikar2003_FacilityOnline,0.99567,1.01423,404679.875,10.0,blobs,,0.18724,,,,,,8192.0,,,,,43.0,6771781.0,10000.0,,2064.0,,,,5340.6379,8.0,10000.0,0.99417,1.42395,1.87243,211.0,insertion-only,Kmeans_sweep
[Ailon2009] Streaming k-means#,0.7737,2.27086,906070.125,10.0,blobs,Ailon2009 faithful (no refinement),1443.749,,8192.0,,,,,,,,,,52321389.0,10000.0,,5376.0,,,112.0,3462.56701,8.0,10000.0,0.88469,127.0862,2.88803,211.0,insertion-only,Kmeans_sweep
Boutsidis2014_RandomProj_STREAMING,0.84354,1.13355,452285.19215,10.0,blobs,,3.93272,8.0,1024.0,0.0,10.0,0.3,,,,,batch_stream_wrapper,,13523724.0,10000.0,10.0,1424.0,0.0,,,222327.21007,8.0,10000.0,0.89896,13.35516,0.04497,211.0,insertion-only,Kmeans_sweep
KMeans(sk),0.99681,1.0,398998.3125,10.0,blobs,,,,,,,,,,,,,,6797685.0,10000.0,,,,,,118809.99904,8.0,10000.0,0.99562,0.0,0.08416,42.0,insertion-only,Kmeans_sweep
MiniBatchKMeans(sk),0.99658,1.00011,399043.3125,10.0,blobs,,,,,,,,,,,,,,6798637.0,10000.0,,,,,,330691.93153,8.0,10000.0,0.99537,0.01127,0.03023,42.0,insertion-only,Kmeans_sweep
[1]Guha2002_STREAMKMeans_Paper,0.99703,1.0,399000.26792,10.0,blobs,,70.12056,,8192.0,,,,,1.0,2.0,32.0,,,13525545.0,10000.0,,2816.0,,32.0,,65439.72633,8.0,10000.0,0.99588,0.00049,0.15281,42.0,insertion-only,Kmeans_sweep
[16]Charikar2003_FacilityOnline,0.99612,1.01105,403410.4375,10.0,blobs,,0.19138,,,,,,8192.0,,,,,42.0,6771678.0,10000.0,,2016.0,,,,5225.12676,8.0,10000.0,0.99483,1.1058,1.91382,42.0,insertion-only,Kmeans_sweep
[Ailon2009] Streaming k-means#,0.85447,2.11068,842158.75,10.0,blobs,Ailon2009 faithful (no refinement),1427.60254,,8192.0,,,,,,,,,,52321311.0,10000.0,,5376.0,,,112.0,3501.74759,8.0,10000.0,0.9213,111.06824,2.85571,42.0,insertion-only,Kmeans_sweep
Boutsidis2014_RandomProj_STREAMING,0.81524,1.1499,458810.91738,10.0,blobs,,4.12458,8.0,1024.0,0.0,10.0,0.5,,,,,batch_stream_wrapper,,13523952.0,10000.0,10.0,1424.0,0.0,,,210213.20874,8.0,10000.0,0.90901,14.99069,0.04757,42.0,insertion-only,Kmeans_sweep
KMeans(sk),0.99681,1.0,398998.5,10.0,blobs,,,,,,,,,,,,,,6798304.0,10000.0,,,,,,120268.31813,8.0,10000.0,0.99562,0.0,0.08314,77.0,insertion-only,Kmeans_sweep
MiniBatchKMeans(sk),0.99681,1.00009,399036.5625,10.0,blobs,,,,,,,,,,,,,,6798669.0,10000.0,,,,,,321266.22069,8.0,10000.0,0.99563,0.00953,0.03112,77.0,insertion-only,Kmeans_sweep
[1]Guha2002_STREAMKMeans_Paper,0.99658,1.00004,399017.89132,10.0,blobs,,79.84829,,8192.0,,,,,1.0,2.0,32.0,,,13525561.0,10000.0,,2816.0,,32.0,,57504.98806,8.0,10000.0,0.99537,0.00485,0.17389,77.0,insertion-only,Kmeans_sweep
[16]Charikar2003_FacilityOnline,0.99703,1.00782,402122.5625,10.0,blobs,,0.19017,,,,,,8192.0,,,,,43.0,6771805.0,10000.0,,2064.0,,,,5258.31367,8.0,10000.0,0.99588,0.78297,1.90175,77.0,insertion-only,Kmeans_sweep
[Ailon2009] Streaming k-means#,0.82,2.20447,879584.0625,10.0,blobs,Ailon2009 faithful (no refinement),1422.71922,,8192.0,,,,,,,,,,52321311.0,10000.0,,5376.0,,,112.0,3513.77772,8.0,10000.0,0.89237,120.44796,2.84593,77.0,insertion-only,Kmeans_sweep
Boutsidis2014_RandomProj_STREAMING,0.89422,1.01201,403791.1199,10.0,blobs,,3.89294,8.0,1024.0,0.0,10.0,0.5,,,,,batch_stream_wrapper,,13523780.0,10000.0,10.0,1424.0,0.0,,,224082.52044,8.0,10000.0,0.91168,1.20116,0.04462,77.0,insertion-only,Kmeans_sweep
KMeans(sk),0.99681,1.0,398998.3125,10.0,blobs,,,,,,,,,,,,,,6797685.0,10000.0,,,,,,126258.77313,8.0,10000.0,0.99562,0.0,0.0792,211.0,insertion-only,Kmeans_sweep
MiniBatchKMeans(sk),0.8322,1.20157,479428.28125,10.0,blobs,,,,,,,,,,,,,,6798637.0,10000.0,,,,,,452233.7589,8.0,10000.0,0.93248,20.15797,0.02211,211.0,insertion-only,Kmeans_sweep
[1]Guha2002_STREAMKMeans_Paper,0.99703,1.0,399000.31092,10.0,blobs,,58.8227,,8192.0,,,,,1.0,2.0,32.0,,,13525808.0,10000.0,,2816.0,,32.0,,78206.38902,8.0,10000.0,0.99588,0.0005,0.12786,211.0,insertion-only,Kmeans_sweep
[16]Charikar2003_FacilityOnline,0.99567,1.01423,404679.875,10.0,blobs,,0.15918,,,,,,8192.0,,,,,43.0,6772377.0,10000.0,,2064.0,,,,6282.08986,8.0,10000.0,0.99417,1.42395,1.59182,211.0,insertion-only,Kmeans_sweep
[Ailon2009] Streaming k-means#,0.7737,2.27086,906070.125,10.0,blobs,Ailon2009 faithful (no refinement),1381.14133,,8192.0,,,,,,,,,,52321311.0,10000.0,,5376.0,,,112.0,3619.5185,8.0,10000.0,0.88469,127.0862,2.76279,211.0,insertion-only,Kmeans_sweep
Boutsidis2014_RandomProj_STREAMING,0.84354,1.13355,452285.19215,10.0,blobs,,4.5156,8.0,1024.0,0.0,10.0,0.5,,,,,batch_stream_wrapper,,13523724.0,10000.0,10.0,1424.0,0.0,,,196651.83728,8.0,10000.0,0.89896,13.35516,0.05085,211.0,insertion-only,Kmeans_sweep
KMeans(sk),0.99681,1.0,398998.375,10.0,blobs,,,,,,,,,,,,,,6797685.0,10000.0,,,,,,103278.31181,8.0,10000.0,0.99562,0.0,0.09682,42.0,insertion-only,Kmeans_sweep
MiniBatchKMeans(sk),0.99658,1.00011,399043.3125,10.0,blobs,,,,,,,,,,,,,,6798637.0,10000.0,,,,,,199076.28603,8.0,10000.0,0.99537,0.01126,0.05023,42.0,insertion-only,Kmeans_sweep
[1]Guha2002_STREAMKMeans_Paper,0.99703,1.0,399000.26793,10.0,blobs,,61.12183,,8192.0,,,,,1.0,2.0,32.0,,,13525545.0,10000.0,,2816.0,,32.0,,75717.73331,8.0,10000.0,0.99588,0.00047,0.13206,42.0,insertion-only,Kmeans_sweep
[16]Charikar2003_FacilityOnline,0.99612,1.01105,403410.4375,10.0,blobs,,0.20858,,,,,,8192.0,,,,,42.0,6771589.0,10000.0,,2016.0,,,,4794.19547,8.0,10000.0,0.99483,1.10578,2.08585,42.0,insertion-only,Kmeans_sweep
[Ailon2009] Streaming k-means#,0.85447,2.11068,842158.75,10.0,blobs,Ailon2009 faithful (no refinement),1349.17077,,8192.0,,,,,,,,,,52321311.0,10000.0,,5376.0,,,112.0,3705.28977,8.0,10000.0,0.9213,111.06821,2.69884,42.0,insertion-only,Kmeans_sweep
Boutsidis2014_RandomProj_STREAMING,0.81524,1.1499,458810.91738,10.0,blobs,,4.08017,8.0,1024.0,0.0,10.0,0.8,,,,,batch_stream_wrapper,,13523844.0,10000.0,10.0,1424.0,0.0,,,214615.87781,8.0,10000.0,0.90901,14.99067,0.04659,42.0,insertion-only,Kmeans_sweep
KMeans(sk),0.99681,1.0,398998.5,10.0,blobs,,,,,,,,,,,,,,6797637.0,10000.0,,,,,,123797.36124,8.0,10000.0,0.99562,0.0,0.08077,77.0,insertion-only,Kmeans_sweep
MiniBatchKMeans(sk),0.99681,1.00009,399036.5625,10.0,blobs,,,,,,,,,,,,,,6798846.0,10000.0,,,,,,335788.31528,8.0,10000.0,0.99563,0.00953,0.02978,77.0,insertion-only,Kmeans_sweep
[1]Guha2002_STREAMKMeans_Paper,0.99658,1.00004,399017.88792,10.0,blobs,,59.83356,,8192.0,,,,,1.0,2.0,32.0,,,13525619.0,10000.0,,2816.0,,32.0,,77297.99718,8.0,10000.0,0.99537,0.00485,0.12936,77.0,insertion-only,Kmeans_sweep
[16]Charikar2003_FacilityOnline,0.99703,1.00782,402122.5625,10.0,blobs,,0.16092,,,,,,8192.0,,,,,43.0,6771805.0,10000.0,,2064.0,,,,6213.96515,8.0,10000.0,0.99588,0.78297,1.60927,77.0,insertion-only,Kmeans_sweep
[Ailon2009] Streaming k-means#,0.82,2.20447,879584.0625,10.0,blobs,Ailon2009 faithful (no refinement),1484.98518,,8192.0,,,,,,,,,,52321311.0,10000.0,,5376.0,,,112.0,3366.38978,8.0,10000.0,0.89237,120.44796,2.97054,77.0,insertion-only,Kmeans_sweep
Boutsidis2014_RandomProj_STREAMING,0.89422,1.01201,403791.1199,10.0,blobs,,4.22083,8.0,1024.0,0.0,10.0,0.8,,,,,batch_stream_wrapper,,13523724.0,10000.0,10.0,1424.0,0.0,,,210431.98909,8.0,10000.0,0.91168,1.20116,0.04752,77.0,insertion-only,Kmeans_sweep
KMeans(sk),0.99681,1.0,398998.375,10.0,blobs,,,,,,,,,,,,,,6797729.0,10000.0,,,,,,120274.70743,8.0,10000.0,0.99562,0.0,0.08314,211.0,insertion-only,Kmeans_sweep
MiniBatchKMeans(sk),0.8322,1.20157,479428.28125,10.0,blobs,,,,,,,,,,,,,,6798637.0,10000.0,,,,,,486745.31659,8.0,10000.0,0.93248,20.15795,0.02054,211.0,insertion-only,Kmeans_sweep
[1]Guha2002_STREAMKMeans_Paper,0.99703,1.0,399000.3109,10.0,blobs,,57.66356,,8192.0,,,,,1.0,2.0,32.0,,,13525938.0,10000.0,,2816.0,,32.0,,80086.01237,8.0,10000.0,0.99588,0.00048,0.12486,211.0,insertion-only,Kmeans_sweep
[16]Charikar2003_FacilityOnline,0.99567,1.01423,404679.875,10.0,blobs,,0.15206,,,,,,8192.0,,,,,43.0,6772020.0,10000.0,,2064.0,,,,6576.10475,8.0,10000.0,0.99417,1.42394,1.52065,211.0,insertion-only,Kmeans_sweep
[Ailon2009] Streaming k-means#,0.7737,2.27086,906070.125,10.0,blobs,Ailon2009 faithful (no refinement),1458.63885,,8192.0,,,,,,,,,,52321311.0,10000.0,,5376.0,,,112.0,3427.25859,8.0,10000.0,0.88469,127.08616,2.91778,211.0,insertion-only,Kmeans_sweep
Boutsidis2014_RandomProj_STREAMING,0.84354,1.13355,452285.19215,10.0,blobs,,3.87852,8.0,1024.0,0.0,10.0,0.8,,,,,batch_stream_wrapper,,13524499.0,10000.0,10.0,1424.0,0.0,,,224806.45737,8.0,10000.0,0.89896,13.35514,0.04448,211.0,insertion-only,Kmeans_sweep
KMeans(sk),0.62447,1.0,33167.03906,10.0,anisotropic,,,,,,,,,,,,,,6797685.0,10000.0,,,,,,130904.04572,8.0,10000.0,0.75744,0.0,0.07639,42.0,insertion-only,Kmeans_sweep
MiniBatchKMeans(sk),0.60971,1.08882,36113.18359,10.0,anisotropic,,,,,,,,,,,,,,6798757.0,10000.0,,,,,,296744.34068,8.0,10000.0,0.76824,8.88274,0.03369,42.0,insertion-only,Kmeans_sweep
[1]Guha2002_STREAMKMeans_Paper,0.63851,1.00651,33383.05016,10.0,anisotropic,,57.51502,,8192.0,,,,,1.0,2.0,32.0,,,13525545.0,10000.0,,2816.0,,32.0,,80471.59055,8.0,10000.0,0.76436,0.65128,0.12426,42.0,insertion-only,Kmeans_sweep
[16]Charikar2003_FacilityOnline,0.64358,1.01145,33547.02343,10.0,anisotropic,,0.13234,,,,,,128.0,,,,,64.0,6777210.0,10000.0,,3072.0,,,,7556.12595,8.0,10000.0,0.7671,1.14566,1.32342,42.0,insertion-only,Kmeans_sweep
[Ailon2009] Streaming k-means#,0.61088,1.62721,53969.78125,10.0,anisotropic,Ailon2009 faithful (no refinement),1524.96818,,8192.0,,,,,,,,,,52321311.0,10000.0,,5376.0,,,112.0,3278.00296,8.0,10000.0,0.76491,62.72113,3.05063,42.0,insertion-only,Kmeans_sweep
Boutsidis2014_RandomProj_STREAMING,0.62385,1.00554,33350.97352,10.0,anisotropic,,3.95408,8.0,1024.0,0.0,10.0,0.3,,,,,batch_stream_wrapper,,13523766.0,10000.0,10.0,1424.0,0.0,,,221751.00134,8.0,10000.0,0.75887,0.55457,0.04509,42.0,insertion-only,Kmeans_sweep
KMeans(sk),0.61944,1.0,33167.92187,10.0,anisotropic,,,,,,,,,,,,,,6797637.0,10000.0,,,,,,101977.81796,8.0,10000.0,0.75565,0.0,0.09806,77.0,insertion-only,Kmeans_sweep
MiniBatchKMeans(sk),0.62824,1.07654,35706.6875,10.0,anisotropic,,,,,,,,,,,,,,6798653.0,10000.0,,,,,,346806.7766,8.0,10000.0,0.76502,7.65428,0.02883,77.0,insertion-only,Kmeans_sweep
