algorithm,ari_mean,ari_std,cost_ratio_vs_kmeans_mean,cost_ratio_vs_kmeans_std,cost_sse_mean,cost_sse_std,d,dataset,k,memory_mean,memory_std,n,nmi_mean,nmi_std,num_seeds,quality_loss_pct_vs_kmeans_mean,quality_loss_pct_vs_kmeans_std,runtime_sec_mean,runtime_sec_std,sweep_id
KMeans(sk),0.94197,0.09517,1.0,0.0,425713.16666,46271.13291,10.0,blobs,8.0,440320.0,0.0,10000.0,0.97465,0.03655,3.0,0.0,0.0,0.04286,0.01526,Kmeans_sweep
[Ailon2009] Streaming k-means,0.83189,0.14659,1.90023,0.48608,801353.04166,168836.23026,10.0,blobs,8.0,2304.0,0.0,10000.0,0.90595,0.07954,3.0,90.02316,48.60887,0.08861,0.02218,Kmeans_sweep
[Boutsidis2014] RandomProj Streaming,0.86053,0.06719,1.06809,0.11195,452964.20452,45432.46153,10.0,blobs,8.0,1424.0,0.0,10000.0,0.91496,0.02056,3.0,6.80926,11.19535,0.02398,0.00605,Kmeans_sweep
[Guha2002] Streaming k-means,0.99688,0.00013,0.94425,0.09656,399001.64261,0.70356,10.0,blobs,8.0,2816.0,0.0,10000.0,0.99571,0.00015,3.0,-5.57478,9.65699,0.12709,0.03995,Kmeans_sweep
[Charikar2003] PLS KMeans,0.99643,0.00013,0.9506,0.09652,401706.12047,499.88518,10.0,blobs,8.0,58930.66666,3119.14176,10000.0,0.99504,0.00013,3.0,-4.93984,9.65277,10.54541,0.5471,Kmeans_sweep
KMeans(sk),0.61756,0.00302,1.0,0.0,34071.83463,1560.57232,10.0,anisotropic,8.0,440320.0,0.0,10000.0,0.75851,0.00533,3.0,0.0,0.0,0.03829,0.01375,Kmeans_sweep
[Ailon2009] Streaming k-means,0.56704,0.0854,1.89642,0.53047,64425.24218,16875.12955,10.0,anisotropic,8.0,2304.0,0.0,10000.0,0.73907,0.05115,3.0,89.64273,53.0477,0.10479,0.02687,Kmeans_sweep
[Boutsidis2014] RandomProj Streaming,0.61483,0.03279,1.08032,0.06671,36766.46029,1772.46307,10.0,anisotropic,8.0,1424.0,0.0,10000.0,0.75237,0.01975,3.0,8.03298,6.67142,0.03635,0.00891,Kmeans_sweep
[Guha2002] Streaming k-means,0.6339,0.01326,1.00762,0.06367,34270.67621,958.12568,10.0,anisotropic,8.0,2816.0,0.0,10000.0,0.76236,0.00721,3.0,0.7623,6.36791,0.14294,0.02771,Kmeans_sweep
[Charikar2003] PLS KMeans,0.62885,0.00417,0.98315,0.04664,33449.28817,100.77717,10.0,anisotropic,8.0,16866.66666,636.60767,10000.0,0.75985,0.00163,3.0,-1.68476,4.66404,13.79506,1.60131,Kmeans_sweep
KMeans(sk),1.0,0.0,1.0,0.0,623552.4375,0.0,10.0,high_dim_sparseish,8.0,440320.0,0.0,10000.0,1.0,0.0,3.0,0.0,0.0,0.0957,0.0086,Kmeans_sweep
[Ailon2009] Streaming k-means,0.87923,0.1091,2.09249,0.51977,1304777.25,324107.0752,10.0,high_dim_sparseish,8.0,2304.0,0.0,10000.0,0.93447,0.0649,3.0,109.249,51.97751,0.25702,0.00819,Kmeans_sweep
[Boutsidis2014] RandomProj Streaming,0.90625,0.13485,1.14987,0.25762,717008.97904,160641.7392,10.0,high_dim_sparseish,8.0,1424.0,0.0,10000.0,0.9414,0.06937,3.0,14.98775,25.76234,0.08779,0.01397,Kmeans_sweep
