algorithm,ari,cost_ratio_vs_kmeans,cost_sse,d,dataset,extra__algorithm,extra__avg_update_ms,extra__beta,extra__c2,extra__chunk_size,extra__coreset_factor,extra__coreset_per_round,extra__cost_is_approx,extra__d,extra__dimension,extra__eps,extra__final_lower_bound,extra__final_summary_size,extra__gamma,extra__levels_used,extra__m_factor,extra__m_summary,extra__max_chunk_summary_size,extra__mode,extra__num_phases,extra__peak_mem_bytes,extra__phase_summaries,extra__points_seen,extra__r,extra__repeat_factor,extra__repetitions,extra__stream_is_single_pass,extra__summary_points,extra__summary_size,extra__throughput_pts_per_sec,k,memory,n,nmi,quality_loss_pct_vs_kmeans,runtime_sec,seed,stream_model,sweep_id
KMeans(sk),0.99703,1.0,398998.6875,10.0,blobs,,,,,,,,,,,,,,,,,,,,,6805251.0,,10000.0,,,,,,,299607.51415,8.0,440320.0,10000.0,0.99588,0.0,0.03337,42.0,insertion-only,Kmeans_sweep
[Ailon2009] Streaming k-means,0.98573,1.62347,647762.75,10.0,blobs,Ailon2009 tuned (no refinement),52.97314,,,8192.0,1.0,3.0,,,,,,,,,,,24.0,,,2461730.0,,10000.0,,1.0,10.0,,,48.0,92224.20811,8.0,2304.0,10000.0,0.98367,62.34708,0.10843,42.0,insertion-only,Kmeans_sweep
[Boutsidis2014] RandomProj Streaming,0.83999,1.19736,477746.94317,10.0,blobs,,16.75765,,2.0,8192.0,,,0.0,10.0,,2.5,,,,,,,,batch_stream_wrapper,,2182033.0,,10000.0,10.0,,,0.0,,,232183.4063,8.0,1424.0,10000.0,0.90814,19.73646,0.04306,42.0,insertion-only,Kmeans_sweep
[Guha2002] Streaming k-means,0.99703,1.0,399001.4556,10.0,blobs,,73.0657,,,8192.0,,,,,,,,,,1.0,3.0,32.0,,,,2821523.0,,10000.0,,,,,32.0,,58031.56917,8.0,2816.0,10000.0,0.99588,0.00069,0.17231,42.0,insertion-only,Kmeans_sweep
[Charikar2003] PLS KMeans,0.99681,1.00069,399274.05509,10.0,blobs,,6.06726,1.5,,8192.0,,,,,10.0,,7621.93836,1851.0,0.25,,,,,,14.0,6353272.0,"[{'phase': 1, 'Li': 39.16328062985008, 'raw_start_index': 0, 'raw_consumed': 2614, 'summary_in_size': 0, 'summary_out_size': 2614, 'chunk_size': 8192, 'facility_cost': 0.47945611021620693, 'median_limit': 2614, 'cost_limit': 1253.2249801552025, 'winner_processed_items': 2614, 'winner_raw_points_read': 2614, 'winner_num_centers': 2614, 'winner_cost': 0.0, 'num_parallel_runs': 19}, {'phase': 2, 'Li': 58.74492094477512, 'raw_start_index': 2614, 'raw_consumed': 0, 'summary_in_size': 2614, 'summary_out_size': 2614, 'chunk_size': 8192, 'facility_cost': 0.7191841653243104, 'median_limit': 2614, 'cost_limit': 1879.8374702328038, 'winner_processed_items': 2614, 'winner_raw_points_read': 0, 'winner_num_centers': 2614, 'winner_cost': 0.0, 'num_parallel_runs': 19}, {'phase': 3, 'Li': 88.11738141716268, 'raw_start_index': 2615, 'raw_consumed': 0, 'summary_in_size': 2615, 'summary_out_size': 2614, 'chunk_size': 8192, 'facility_cost': 1.0787762479864655, 'median_limit': 2614, 'cost_limit': 2819.7562053492056, 'winner_processed_items': 2614, 'winner_raw_points_read': 0, 'winner_num_centers': 2614, 'winner_cost': 0.0, 'num_parallel_runs': 19}, {'phase': 4, 'Li': 132.176072125744, 'raw_start_index': 2616, 'raw_consumed': 0, 'summary_in_size': 2615, 'summary_out_size': 2614, 'chunk_size': 8192, 'facility_cost': 1.6181643719796983, 'median_limit': 2614, 'cost_limit': 4229.634308023808, 'winner_processed_items': 2614, 'winner_raw_points_read': 0, 'winner_num_centers': 2614, 'winner_cost': 0.0, 'num_parallel_runs': 19}, {'phase': 5, 'Li': 198.26410818861604, 'raw_start_index': 2617, 'raw_consumed': 0, 'summary_in_size': 2615, 'summary_out_size': 2614, 'chunk_size': 8192, 'facility_cost': 2.4272465579695477, 'median_limit': 2614, 'cost_limit': 6344.451462035713, 'winner_processed_items': 2614, 'winner_raw_points_read': 0, 'winner_num_centers': 2614, 'winner_cost': 0.0, 'num_parallel_runs': 19}, {'phase': 6, 'Li': 297.396162282924, 'raw_start_index': 2618, 'raw_consumed': 0, 'summary_in_size': 2615, 'summary_out_size': 2614, 'chunk_size': 8192, 'facility_cost': 3.6408698369543213, 'median_limit': 2614, 'cost_limit': 9516.677193053569, 'winner_processed_items': 2615, 'winner_raw_points_read': 0, 'winner_num_centers': 2614, 'winner_cost': 2.3383569082551503, 'num_parallel_runs': 19}, {'phase': 7, 'Li': 446.09424342438604, 'raw_start_index': 2619, 'raw_consumed': 3, 'summary_in_size': 2615, 'summary_out_size': 2614, 'chunk_size': 8192, 'facility_cost': 5.461304755431482, 'median_limit': 2614, 'cost_limit': 14275.015789580353, 'winner_processed_items': 2618, 'winner_raw_points_read': 3, 'winner_num_centers': 2614, 'winner_cost': 17.529472803986152, 'num_parallel_runs': 19}, {'phase': 8, 'Li': 669.141365136579, 'raw_start_index': 2622, 'raw_consumed': 19, 'summary_in_size': 2614, 'summary_out_size': 2614, 'chunk_size': 8192, 'facility_cost': 8.191957133147222, 'median_limit': 2614, 'cost_limit': 21412.523684370528, 'winner_processed_items': 2633, 'winner_raw_points_read': 19, 'winner_num_centers': 2614, 'winner_cost': 122.7837311622697, 'num_parallel_runs': 19}, {'phase': 9, 'Li': 1003.7120477048685, 'raw_start_index': 2641, 'raw_consumed': 78, 'summary_in_size': 2614, 'summary_out_size': 2614, 'chunk_size': 8192, 'facility_cost': 12.287935699720833, 'median_limit': 2614, 'cost_limit': 32118.785526555792, 'winner_processed_items': 2692, 'winner_raw_points_read': 78, 'winner_num_centers': 2614, 'winner_cost': 680.4872229725343, 'num_parallel_runs': 19}, {'phase': 10, 'Li': 1505.5680715573028, 'raw_start_index': 2719, 'raw_consumed': 309, 'summary_in_size': 2614, 'summary_out_size': 2614, 'chunk_size': 8192, 'facility_cost': 18.43190354958125, 'median_limit': 2614, 'cost_limit': 48178.17828983369, 'winner_processed_items': 2923, 'winner_raw_points_read': 309, 'winner_num_centers': 2614, 'winner_cost': 3791.604736082603, 'num_parallel_runs': 19}, {'phase': 11, 'Li': 2258.3521073359543, 'raw_start_index': 3028, 'raw_consumed': 817, 'summary_in_size': 2614, 'summary_out_size': 2614, 'chunk_size': 8192, 'facility_cost': 27.647855324371875, 'median_limit': 2614, 'cost_limit': 72267.26743475054, 'winner_processed_items': 3431, 'winner_raw_points_read': 817, 'winner_num_centers': 2614, 'winner_cost': 12761.632804566041, 'num_parallel_runs': 19}, {'phase': 12, 'Li': 3387.5281610039315, 'raw_start_index': 3845, 'raw_consumed': 1778, 'summary_in_size': 2614, 'summary_out_size': 2614, 'chunk_size': 8192, 'facility_cost': 41.47178298655781, 'median_limit': 2614, 'cost_limit': 108400.9011521258, 'winner_processed_items': 4392, 'winner_raw_points_read': 1778, 'winner_num_centers': 2614, 'winner_cost': 33090.96410729265, 'num_parallel_runs': 19}, {'phase': 13, 'Li': 5081.292241505897, 'raw_start_index': 5623, 'raw_consumed': 3138, 'summary_in_size': 2614, 'summary_out_size': 2614, 'chunk_size': 8192, 'facility_cost': 62.207674479836726, 'median_limit': 2614, 'cost_limit': 162601.35172818872, 'winner_processed_items': 5752, 'winner_raw_points_read': 3138, 'winner_num_centers': 2614, 'winner_cost': 63197.80888117314, 'num_parallel_runs': 19}, {'phase': 14, 'Li': 7621.938362258847, 'raw_start_index': 8761, 'raw_consumed': 1239, 'summary_in_size': 2614, 'summary_out_size': 1851, 'chunk_size': 8192, 'facility_cost': 93.31151171975509, 'median_limit': 2614, 'cost_limit': 243902.0275922831, 'winner_processed_items': 3853, 'winner_raw_points_read': 1239, 'winner_num_centers': 1851, 'winner_cost': 51634.36023343609, 'num_parallel_runs': 19}]",10000.0,,,,,,,164.81895,8.0,162888.0,10000.0,0.99562,0.06901,60.67263,42.0,insertion-only,Kmeans_sweep
KMeans(sk),0.83207,1.0,479142.4375,10.0,blobs,,,,,,,,,,,,,,,,,,,,,6796791.0,,10000.0,,,,,,,219317.48397,8.0,440320.0,10000.0,0.93243,0.0,0.04559,77.0,insertion-only,Kmeans_sweep
[Ailon2009] Streaming k-means,0.81614,1.61572,774161.5,10.0,blobs,Ailon2009 tuned (no refinement),44.95384,,,8192.0,1.0,3.0,,,,,,,,,,,24.0,,,2460085.0,,10000.0,,1.0,10.0,,,48.0,108270.92416,8.0,2304.0,10000.0,0.90948,61.5723,0.09236,77.0,insertion-only,Kmeans_sweep
[Boutsidis2014] RandomProj Streaming,0.806,1.00307,480616.19269,10.0,blobs,,16.97145,,2.0,8192.0,,,0.0,10.0,,2.5,,,,,,,,batch_stream_wrapper,,2178974.0,,10000.0,10.0,,,0.0,,,230780.5923,8.0,1424.0,10000.0,0.89867,0.30758,0.04333,77.0,insertion-only,Kmeans_sweep
[Guha2002] Streaming k-means,0.99681,0.83274,399002.42078,10.0,blobs,,71.6859,,,8192.0,,,,,,,,,,1.0,3.0,32.0,,,,2822464.0,,10000.0,,,,,32.0,,59031.59843,8.0,2816.0,10000.0,0.99562,-16.72571,0.1694,77.0,insertion-only,Kmeans_sweep
[Charikar2003] PLS KMeans,0.9968,0.83328,399261.19586,10.0,blobs,,6.201,1.5,,8192.0,,,,,10.0,,7621.93836,1850.0,0.25,,,,,,14.0,6354224.0,"[{'phase': 1, 'Li': 39.16328062985008, 'raw_start_index': 0, 'raw_consumed': 2614, 'summary_in_size': 0, 'summary_out_size': 2614, 'chunk_size': 8192, 'facility_cost': 0.47945611021620693, 'median_limit': 2614, 'cost_limit': 1253.2249801552025, 'winner_processed_items': 2614, 'winner_raw_points_read': 2614, 'winner_num_centers': 2614, 'winner_cost': 0.0, 'num_parallel_runs': 19}, {'phase': 2, 'Li': 58.74492094477512, 'raw_start_index': 2614, 'raw_consumed': 0, 'summary_in_size': 2614, 'summary_out_size': 2614, 'chunk_size': 8192, 'facility_cost': 0.7191841653243104, 'median_limit': 2614, 'cost_limit': 1879.8374702328038, 'winner_processed_items': 2614, 'winner_raw_points_read': 0, 'winner_num_centers': 2614, 'winner_cost': 0.0, 'num_parallel_runs': 19}, {'phase': 3, 'Li': 88.11738141716268, 'raw_start_index': 2615, 'raw_consumed': 0, 'summary_in_size': 2615, 'summary_out_size': 2614, 'chunk_size': 8192, 'facility_cost': 1.0787762479864655, 'median_limit': 2614, 'cost_limit': 2819.7562053492056, 'winner_processed_items': 2614, 'winner_raw_points_read': 0, 'winner_num_centers': 2614, 'winner_cost': 0.0, 'num_parallel_runs': 19}, {'phase': 4, 'Li': 132.176072125744, 'raw_start_index': 2616, 'raw_consumed': 0, 'summary_in_size': 2615, 'summary_out_size': 2614, 'chunk_size': 8192, 'facility_cost': 1.6181643719796983, 'median_limit': 2614, 'cost_limit': 4229.634308023808, 'winner_processed_items': 2614, 'winner_raw_points_read': 0, 'winner_num_centers': 2614, 'winner_cost': 0.0, 'num_parallel_runs': 19}, {'phase': 5, 'Li': 198.26410818861604, 'raw_start_index': 2617, 'raw_consumed': 0, 'summary_in_size': 2615, 'summary_out_size': 2614, 'chunk_size': 8192, 'facility_cost': 2.4272465579695477, 'median_limit': 2614, 'cost_limit': 6344.451462035713, 'winner_processed_items': 2615, 'winner_raw_points_read': 0, 'winner_num_centers': 2614, 'winner_cost': 2.3383569082551503, 'num_parallel_runs': 19}, {'phase': 6, 'Li': 297.396162282924, 'raw_start_index': 2618, 'raw_consumed': 0, 'summary_in_size': 2615, 'summary_out_size': 2614, 'chunk_size': 8192, 'facility_cost': 3.6408698369543213, 'median_limit': 2614, 'cost_limit': 9516.677193053569, 'winner_processed_items': 2614, 'winner_raw_points_read': 0, 'winner_num_centers': 2614, 'winner_cost': 0.0, 'num_parallel_runs': 19}, {'phase': 7, 'Li': 446.09424342438604, 'raw_start_index': 2619, 'raw_consumed': 3, 'summary_in_size': 2615, 'summary_out_size': 2614, 'chunk_size': 8192, 'facility_cost': 5.461304755431482, 'median_limit': 2614, 'cost_limit': 14275.015789580353, 'winner_processed_items': 2618, 'winner_raw_points_read': 3, 'winner_num_centers': 2614, 'winner_cost': 17.61843632995658, 'num_parallel_runs': 19}, {'phase': 8, 'Li': 669.141365136579, 'raw_start_index': 2622, 'raw_consumed': 19, 'summary_in_size': 2614, 'summary_out_size': 2614, 'chunk_size': 8192, 'facility_cost': 8.191957133147222, 'median_limit': 2614, 'cost_limit': 21412.523684370528, 'winner_processed_items': 2633, 'winner_raw_points_read': 19, 'winner_num_centers': 2614, 'winner_cost': 115.78655938982104, 'num_parallel_runs': 19}, {'phase': 9, 'Li': 1003.7120477048685, 'raw_start_index': 2641, 'raw_consumed': 76, 'summary_in_size': 2614, 'summary_out_size': 2614, 'chunk_size': 8192, 'facility_cost': 12.287935699720833, 'median_limit': 2614, 'cost_limit': 32118.785526555792, 'winner_processed_items': 2690, 'winner_raw_points_read': 76, 'winner_num_centers': 2614, 'winner_cost': 701.6961593513645, 'num_parallel_runs': 19}, {'phase': 10, 'Li': 1505.5680715573028, 'raw_start_index': 2717, 'raw_consumed': 318, 'summary_in_size': 2614, 'summary_out_size': 2614, 'chunk_size': 8192, 'facility_cost': 18.43190354958125, 'median_limit': 2614, 'cost_limit': 48178.17828983369, 'winner_processed_items': 2932, 'winner_raw_points_read': 318, 'winner_num_centers': 2614, 'winner_cost': 3791.1636881337254, 'num_parallel_runs': 19}, {'phase': 11, 'Li': 2258.3521073359543, 'raw_start_index': 3035, 'raw_consumed': 863, 'summary_in_size': 2614, 'summary_out_size': 2614, 'chunk_size': 8192, 'facility_cost': 27.647855324371875, 'median_limit': 2614, 'cost_limit': 72267.26743475054, 'winner_processed_items': 3477, 'winner_raw_points_read': 863, 'winner_num_centers': 2614, 'winner_cost': 13642.87921370224, 'num_parallel_runs': 19}, {'phase': 12, 'Li': 3387.5281610039315, 'raw_start_index': 3898, 'raw_consumed': 1711, 'summary_in_size': 2614, 'summary_out_size': 2614, 'chunk_size': 8192, 'facility_cost': 41.47178298655781, 'median_limit': 2614, 'cost_limit': 108400.9011521258, 'winner_processed_items': 4325, 'winner_raw_points_read': 1711, 'winner_num_centers': 2614, 'winner_cost': 31698.199510544404, 'num_parallel_runs': 19}, {'phase': 13, 'Li': 5081.292241505897, 'raw_start_index': 5609, 'raw_consumed': 3320, 'summary_in_size': 2614, 'summary_out_size': 2614, 'chunk_size': 8192, 'facility_cost': 62.207674479836726, 'median_limit': 2614, 'cost_limit': 162601.35172818872, 'winner_processed_items': 5934, 'winner_raw_points_read': 3320, 'winner_num_centers': 2614, 'winner_cost': 67093.11675451497, 'num_parallel_runs': 19}, {'phase': 14, 'Li': 7621.938362258847, 'raw_start_index': 8929, 'raw_consumed': 1071, 'summary_in_size': 2614, 'summary_out_size': 1850, 'chunk_size': 8192, 'facility_cost': 93.31151171975509, 'median_limit': 2614, 'cost_limit': 243902.0275922831, 'winner_processed_items': 3685, 'winner_raw_points_read': 1071, 'winner_num_centers': 1850, 'winner_cost': 48381.02368316921, 'num_parallel_runs': 19}]",10000.0,,,,,,,161.26412,8.0,162800.0,10000.0,0.99549,-16.67171,62.01007,77.0,insertion-only,Kmeans_sweep
